ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9649122807017544,0.996031746031746,0.975,0.9285714285714286,0.9512195121951219,0.9245181185940877
Decision Tree,0.9210526315789473,0.9447751322751322,0.9459459459459459,0.8333333333333334,0.8860759493670886,0.8299275201966065
kNN,0.956140350877193,0.982308201058201,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9058238738943076
Naive Bayes,0.9385964912280702,0.9933862433862434,1.0,0.8333333333333334,0.9090909090909091,0.8714893406611902
Random Forest (Ensemble),0.9736842105263158,0.9943783068783069,1.0,0.9285714285714286,0.9629629629629629,0.9441549509633318
